cat1,cat2,cat3
Nonliving Resources,Energy Resources,Oil Resources 
Nonliving Resources,Energy Resources,Natural Gas Resources
Nonliving Resources,Energy Resources,Tides
Nonliving Resources,Energy Resources,Wind
Nonliving Resources,Energy Resources,Ocean Currents
Nonliving Resources,Energy Resources,Geothermal Resources
Nonliving Resources,Energy Resources,Ocean Thermal Resources
Nonliving Resources,Energy Resources,Solar Radiation
Nonliving Resources,Solar Radiation,Sand Resources 
Nonliving Resources,Solar Radiation,Mineral Resources 
Nonliving Resources,Physical/Chemical Features ,Physical Habitats and Geomorphology 
Nonliving Resources,Physical/Chemical Features ,Bathymetry and Elevation
Nonliving Resources,Physical/Chemical Features ,Substrate
Nonliving Resources,Physical/Chemical Features,Water Column Features 
Nonliving Resources,Physical/Chemical Features ,Water-Quality Parameters 
Living Resources ,Habitat,
Living Resources ,Ecological Functions and Services ,Biological Production 
Living Resources ,Ecological Functions and Services ,Biodiversity 
Living Resources ,Biological Occurrence ,Fishes 
Living Resources ,Biological Occurrence ,Invertebrates 
Living Resources ,Biological Occurrence ,Flora
Living Resources ,Biological Occurrence ,Mammals
Living Resources ,Biological Occurrence ,Birds
Living Resources ,Biological Occurrence ,Reptiles 
Living Resources ,Biological Occurrence ,Invasive Species 
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Scuba/Snorkeling 
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Swimming
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Surface Board Sports 
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Paddling
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Sailing
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Motorized Boating 
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Wildlife Viewing at Sea 
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Tide Pooling
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Shore Use
Ocean Uses ,Recreational Nonextractive /Cultural Use ,Cultural Use 
Ocean Uses ,Harvesting Living Resources ,Pelagic Fishing 
Ocean Uses ,Harvesting Living Resources ,Fishing with Benthic Mobile Gear 
Ocean Uses ,Harvesting Living Resources ,Fishing with Benthic Fixed Gear 
Ocean Uses ,Harvesting Living Resources ,Kayak Fishing
Ocean Uses ,Harvesting Living Resources ,Dive Fishing 
Ocean Uses ,Harvesting Living Resources ,Fishing from Shore 
Ocean Uses ,Harvesting Living Resources ,Gathering from Shore 
Ocean Uses ,Harvesting Living Resources ,Offshore Seaweed Harvest 
Ocean Uses ,Harvesting Living Resources ,Hunting 
Ocean Uses ,Energy Production,Wind Energy Production 
Ocean Uses ,Energy Production,Wave Energy Production
Ocean Uses ,Energy Production,Ocean Current Energy Production 
Ocean Uses ,Energy Production,Tidal Current Energy Production 
Ocean Uses ,Energy Production,Ocean Thermal Energy Conversion
Ocean Uses ,Energy Production,Offshore Oil and Gas Production 
Ocean Uses ,Transportation ,Shipping 
Ocean Uses ,Transportation ,Cruise Ships 
Ocean Uses ,Transportation ,Military Vessels
Ocean Uses ,Other Commercial/Industrial Uses ,Mining and Mineral Extraction 
Ocean Uses ,Other Commercial/Industrial Uses ,Offshore Aquaculture
Ocean Uses ,Other Commercial/Industrial Uses ,Coastal Aquaculture
Ocean Uses ,Other Commercial/Industrial Uses ,Seawater Intake 
Ocean Uses ,Other Commercial/Industrial Uses ,Sewage Discharge
Ocean Uses ,Other Commercial/Industrial Uses ,Ocean Dumping
Ocean Uses ,Other Commercial/Industrial Uses ,Underwater Transmission Cables 
Governance ,Marine Protected Areas (MPAs) ,
Governance ,De Facto MPAs,
Governance ,Commercial Leases ,
Governance ,Jurisdictional Boundaries ,
Governance ,Tribally Governed Areas ,
Governance ,Regulatory Use Restrictions ,
Infrastructure ,Ports,
Infrastructure ,"Cables, Pipelines, and Power Grids ",
Infrastructure ,Buoys and Navigational Aids ,
Infrastructure ,Structures ,
