Source,Class,Value
MarineCadastre.gov,Theme,Benthic
MarineCadastre.gov,Theme,Birds
MarineCadastre.gov,Theme,Corals
MarineCadastre.gov,Theme,Economic
MarineCadastre.gov,Theme,Elevation
MarineCadastre.gov,Theme,Federal GeoRegulations
MarineCadastre.gov,Theme,Fish
MarineCadastre.gov,Theme,Jurisdictions and Boundaries
MarineCadastre.gov,Theme,Marine Habitat
MarineCadastre.gov,Theme,Marine Mammals and Turtles
MarineCadastre.gov,Theme,Ocean Uses and Planning Areas
MarineCadastre.gov,Theme,Physical and Oceanographic
Black & Veatch (2010),Category 1,marine sanctuaries
Black & Veatch (2010),Category 1,habitat areas
Black & Veatch (2010),Category 1,parks
Black & Veatch (2010),Category 1,other env sensitive
Black & Veatch (2010),Category 1,fisheries
Black & Veatch (2010),Category 1,sea traffic
Black & Veatch (2010),Category 1,infrastructure
Black & Veatch (2010),Category 1,other commercial
Black & Veatch (2010),Category 1,archaeological sites
Black & Veatch (2010),Category 1,tourism
Black & Veatch (2010),Category 1,recreation
Black & Veatch (2010),Category 1,visual impact
Black & Veatch (2010),Category 1,other areas of concern
Black & Veatch (2010),Category 1,unknown
Black & Veatch (2010),Category 1,other
Black & Veatch (2010),Category 1,boundary
Black & Veatch (2010),Category 1,INLAND DATA ONLY
Black & Veatch (2010),Category 2,CH  (Critical Habitat)
Black & Veatch (2010),Category 2,EFH   (Essential Fish Habitat) 
Black & Veatch (2010),Category 2,HAPC   (Habitat Areas of Particular Concern)
Black & Veatch (2010),Category 2,Proposed HAPC
Black & Veatch (2010),Category 2,NMS    (National Marine Sanctuary)
Black & Veatch (2010),Category 2,SPA   (Sanctuary Preservation Area)
Black & Veatch (2010),Category 2,MMA  (Marine Managed Area
Black & Veatch (2010),Category 2,MPA   (Marine Protected Area
Black & Veatch (2010),Category 2,MPAI   (Marine Protected Area Inventory)
Black & Veatch (2010),Category 2,SMZ   (Special Management Zone)
Black & Veatch (2010),Category 2,Significant Wildlife Habitat
Black & Veatch (2010),Category 2,NRPA Habitat
Black & Veatch (2010),Category 2,Sanctuary
Black & Veatch (2010),Category 2,Harvesting Areas
Black & Veatch (2010),Category 2,Potential Habitat
Black & Veatch (2010),Category 2,Distribution
Black & Veatch (2010),Category 2,Habitat
Black & Veatch (2010),Category 2,Conservation Area
Black & Veatch (2010),Category 2,Growing Area
Black & Veatch (2010),Category 2,(IH) Important Habitat
Black & Veatch (2010),Category 2,Other
Black & Veatch (2010),Category 2,Refuge
Black & Veatch (2010),Category 2,Non-Environmental
Black & Veatch (2010),Category 2,INLAND DATA ONLY
Black & Veatch (2010),Category 3,Federal
Black & Veatch (2010),Category 3,Multi-State
Black & Veatch (2010),Category 3,Other
Black & Veatch (2010),Category 3,Unknown
Black & Veatch (2010),Category 3,Washington
Black & Veatch (2010),Category 3,Oregon
Black & Veatch (2010),Category 3,California
Black & Veatch (2010),Category 3,Texas
Black & Veatch (2010),Category 3,Louisiana
Black & Veatch (2010),Category 3,Mississippi
Black & Veatch (2010),Category 3,Alabama
Black & Veatch (2010),Category 3,Florida
Black & Veatch (2010),Category 3,Georgia
Black & Veatch (2010),Category 3,S. Carolina
Black & Veatch (2010),Category 3,N. Carolina
Black & Veatch (2010),Category 3,Virginia
Black & Veatch (2010),Category 3,Maryland
Black & Veatch (2010),Category 3,Delaware
Black & Veatch (2010),Category 3,Rhode Island
Black & Veatch (2010),Category 3,New Jersey
Black & Veatch (2010),Category 3,New York
Black & Veatch (2010),Category 3,Massachusetts
Black & Veatch (2010),Category 3,New Hampshire
Black & Veatch (2010),Category 3,Maine
Black & Veatch (2010),Category 3,Minnesota
Black & Veatch (2010),Category 3,Illinois
Black & Veatch (2010),Category 3,Pennsylvania
Black & Veatch (2010),Category 3,Ohio
Black & Veatch (2010),Category 3,Michigan
Black & Veatch (2010),Category 3,Wisconsin
Black & Veatch (2010),Category 3,Indiana
Black & Veatch (2010),Category 3,Connecticut
Black & Veatch (2010),Category 3,Pacific
Black & Veatch (2010),Category 3,Atlantic
Black & Veatch (2010),Category 3,Gulf of Mexico
Black & Veatch (2010),Category 3,Great Lakes
Black & Veatch (2010),Category 3,INLAND DATA ONLY
