run,redo,key,title,paths,mod_eval,field,by,spatial_type,source
T,F,efh,Essential Fish Habitat,/Volumes/Best HD/nrel_data_big/marinecadastre.gov/Essential Fish Habitat (EFH)/habitat-areas-of-particular-concern/NationalHAPC.gdb,ply <- efh_ply_mod(ply),one,layer,polygon,Marine Cadastre
T,F,mpa,Marine Protected Areas,/Volumes/Best HD/nrel_data_big/marinecadastre.gov/MPA Inventory - MPAs by Government Level/mpa_inventory_2014_public_shp_dir/mpa_inventory_2014_public_shp.shp,ply <- mpa_ply_mod(ply),one,layer,polygon,Marine Cadastre
T,F,wind,Wind (m/s @ 90m),/Volumes/Best HD/nrel_data_big/nrel.gov/wind/pac/pacific_coast_90mwindspeed_off.shp;/Volumes/Best HD/nrel_data_big/nrel.gov/wind/hi/HI_90mwindspeed_off.shp;/Volumes/Best HD/nrel_data_big/nrel.gov/wind/gom/gulf_of_mexico_90mwindspeed_off.shp;/Volumes/Best HD/nrel_data_big/nrel.gov/wind/gl/great_lakes_90mwindspeed_off.shp;/Volumes/Best HD/nrel_data_big/nrel.gov/wind/atl/atlantic_coast_90mwindspeed_off.shp,,Speed_90,,polygon,NREL
T,F,shippinglanes,Shipping Lanes,/Volumes/Best HD/nrel_data_big/marinecadastre.gov/Shipping Lanes and Regulations/shippinglanes_dir/shippinglanes.shp,ply <- shippinglanes_ply_mod(ply),one,,polygon,Marine Cadastre
T,F,oil,Active Oil & Gas Leases,/Volumes/Best HD/nrel_data_big/marinecadastre.gov/Active Oil and Gas Leases/pac_lease(3)_dir/BOEM_Pacific_Leases.shp;/Volumes/Best HD/nrel_data_big/marinecadastre.gov/Active Oil and Gas Leases/actlease_dir/ActiveLeases_APR2017.shp;/Volumes/Best HD/nrel_data_big/marinecadastre.gov/Active Oil and Gas Leases/AKUpdate_dir/AK_Lease.shp,,one,,polygon,Marine Cadastre
T,F,depth,Depth (m),,,,,raster,GEBCO
T,F,aquaculture,Aquaculture,/Volumes/Best HD/nrel_data_big/marinecadastre.gov/Aquaculture/Aquaculture_dir/Aquaculture.gdb,,one,type,polygon,Marine Cadastre
T,F,tide,Tide (W/m2),/Volumes/Best HD/nrel_data_big/nrel.gov/tide/tide_data_west/tide_data_west.shp;/Volumes/Best HD/nrel_data_big/nrel.gov/tide/tide_data_east/tide_data_east.shp,,MEANPO,,point,NREL
T,F,wave,Wave (kW/m),/Volumes/Best HD/nrel_data_big/nrel.gov/wave/mhk-atlas_wave_wef_ann/wave_wef_ann.shp,"ply <- filter(ply, ann_wef != -9999)",ann_wef,,polygon,NREL
T,F,oceanuseatlas.ca,Ocean Use Atlas for California,/Users/bbest/github/nrel-uses/data/layers/oceanuseatlas.ca/prep/oceanuseatlas.ca.geojson,,score,layer,polygon,NOAA Ocean Uses
T,F,oceanuseatlas.orwa,Ocean Use Atlas for Oregon & Washington,/Users/bbest/github/nrel-uses/data/layers/oceanuseatlas.orwa/prep/oceanuseatlas.orwa.geojson,,score,layer,polygon,NOAA Ocean Uses
T,F,oceanuseatlas.hi,Ocean Use Atlas for Hawaii,/Users/bbest/github/nrel-uses/data/layers/oceanuseatlas.hi/prep/oceanuseatlas.hi.geojson,,score,layer,polygon,NOAA Ocean Uses
