region,dataset,layer,depth_pct,depth,tide,wave,wind
Alaska,, Total Area,100,1549566.449715409,2227.1359648270127,313209.0598148481,NA
Alaska,aquaculture,Other,0,63.5781065566656,NA,NA,NA
Alaska,aquaculture,Shellfish,0,0.4336907700798457,NA,NA,NA
Alaska,efh,Bowers,1,10889.536130700231,NA,NA,NA
Alaska,efh,Coral,0,46.993117028733074,NA,41.87708453498613,NA
Alaska,efh,Seamount,0,517.2789657332974,NA,NA,NA
Alaska,efh,Skate,0,278.71255920424176,NA,64.08689722419841,NA
Alaska,efh,Slope,0,5496.999899079869,NA,1258.1324249337,NA
Alaska,mpa,National.Estuarine.Research.Reserve.System,0,793.5740608482511,NA,NA,NA
Alaska,mpa,National.Marine.Fisheries.Service,75,1163326.712613399,2108.797719934845,254336.08447619082,NA
Alaska,mpa,National.Park.Service,0,2060.1395424860443,57.437260159983104,410.95326255249574,NA
Alaska,mpa,National.Wildlife.Refuge.System,1,13881.303523153365,4.087821412205991,565.8274600104601,NA
Alaska,mpa,State.MPA,19,298478.2517293171,1630.5280163328298,87896.88104788163,NA
Alaska,oil,oil,1,11760.671485310626,NA,NA,NA
Alaska,shippinglanes,shippinglanes,0,3420.9396019558653,NA,2974.055325889065,NA
Atlantic Islands,, Total Area,100,17894.557340815205,NA,7.297702272574911,NA
Atlantic Islands,efh,EFH,11,1904.5402948767796,NA,NA,NA
Atlantic Islands,mpa,Marine.National.Monuments,1,107.32047306824083,NA,NA,NA
Atlantic Islands,mpa,National.Estuarine.Research.Reserve.System,0,1.6271260017995435,NA,NA,NA
Atlantic Islands,mpa,National.Marine.Fisheries.Service,1,156.0286076826764,NA,NA,NA
Atlantic Islands,mpa,National.Park.Service,0,10.553160258515598,NA,NA,NA
Atlantic Islands,mpa,Puerto.Rico,13,2327.9857464130096,NA,NA,NA
Atlantic Islands,mpa,U.S..Virgin.Islands,1,141.6973697709383,NA,NA,NA
East,, Total Area,100,541091.4006432547,897.6745392289298,17357.162484423607,237853.1993369532
East,aquaculture,Finfish,0,3.7197520677581215,NA,NA,3.0743895449139216
East,aquaculture,Other,0,6.468117725917844,NA,NA,1.94144445527472
East,aquaculture,Shellfish,0,653.4790174695236,NA,NA,320.0765382197869
East,efh,EFH,17,89521.72240729889,114.79387612960835,2060.1480546651555,39140.65433599023
East,mpa,Marine.National.Monuments,0,0.7195891095323419,NA,NA,0.7195891095323419
East,mpa,National.Estuarine.Research.Reserve.System,0,625.8044493575409,14.02688915010044,NA,374.8672169269795
East,mpa,National.Marine.Fisheries.Service,99,533047.8118637963,798.2220809718233,17357.162484423607,237193.59844850982
East,mpa,National.Marine.Sanctuaries,1,7378.52804888237,30.299193849268626,NA,2243.7960466404484
East,mpa,National.Park.Service,0,1164.8630735547456,17.8190667528343,NA,267.5933306236284
East,mpa,National.Wildlife.Refuge.System,0,984.6113886095184,15.9887311549164,NA,282.9495756258504
East,mpa,State.MPA,3,16338.938071743736,516.9497109810933,NA,11801.261087836161
East,shippinglanes,shippinglanes,2,9853.752245079702,0.6437300474902043,2364.7092519736484,8372.170422027259
Great Lakes,, Total Area,100,152099.48849235236,NA,NA,146600.82181166965
Great Lakes,mpa,National.Estuarine.Research.Reserve.System,0,0.5872321456393421,NA,NA,NA
Great Lakes,mpa,National.Marine.Sanctuaries,7,10912.911396624988,NA,NA,10800.797377323728
Great Lakes,mpa,National.Park.Service,1,1654.9265488637275,NA,NA,1539.5995070440626
Great Lakes,mpa,Pennslyvania,0,6.982525365380999,NA,NA,6.982525365380999
Great Lakes,mpa,State.MPA,4,5919.632681548204,NA,NA,5772.371494663086
Gulf of Mexico,, Total Area,100,426713.3045815976,93.73214831301772,NA,113343.46470211394
Gulf of Mexico,aquaculture,Other,0,5.242539714670656,NA,NA,NA
Gulf of Mexico,aquaculture,Shellfish,0,13.49191819896624,NA,NA,NA
Gulf of Mexico,efh,EFH,22,92607.41674620254,81.5898686426707,NA,12432.762526543374
Gulf of Mexico,mpa,Bureau.of.Ocean.Energy.Management,1,2640.0183045854674,NA,NA,618.2817540465463
Gulf of Mexico,mpa,National.Estuarine.Research.Reserve.System,0,995.9407283591424,NA,NA,419.6182139313303
