title,description,provider,provider_url,downloads_piped,downloads_n,metadatas_piped,metadatas_n
12NM Territorial Sea,"Each coastal State may claim a territorial sea that extends seaward up to 12 nautical miles from its baselines. The coastal State exercises sovereignty over its territorial sea, the air space above it, and the seabed and subsoil beneath it.",NOAA Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,http://maritimeboundaries.noaa.gov/downloads/USMaritimeLimitsAndBoundariesSHP.zip,1,http://gis.charttools.noaa.gov/ocs_metadata/public/fgdc/MB_ParentDataset.xml,1
2009 - 2014 National AIS at 1 Minute Intervals,"Automatic Identification System (AIS) data are information collected by the U.S. Coast Guard to monitor real-time vessel information to improve navigation safety. Data such as ship name, purpose, course, and speed are acquired 24 hours per day primarily in coastal U.S. waters. However, the data sets featured on this website are the 2009, 2010, 2011, 2012, 2013, and 2014 archived AIS data sets intended to be used by the ocean planning community to better understand vessel traffic patterns. These data are provided for analysis in desktop GIS software. For more information, visit the Nationwide Automatic Identification System website.",MarineCadastre.gov,http://www.marinecadastre.gov/,https://marinecadastre.gov/AIS/,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/AISDataHandler2009Metadata.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/AISDataHandler2010Metadata.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/AISDataHandler2011Metadata.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/AISDataHandler2012Metadata.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/AISDataHandler2014Metadata.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/NationalAISMinuteInterval2013.xml&f=html,6
2009 Vessel Traffic (AIS),"Derived from 2009 Automatic Identification System (AIS) broadcast returns. Each count per aliquot represents the number of vessels traveling through the block during the year of 2009. An aliquot measures 1/16 of a full OCS leasing block or 1200 x 1200 meters. The original raw data for June, 2009 is missing 25 days of broadcast data. Only areas where BOEM publishes Official Protraction Diagrams will contain the aliquot AIS counts, therefore, large areas of inland state waters may be missing aliquot AIS counts. Vessel count and types can be viewed by downloading the data.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/AIS_count_vessels_atl_2009_shapefile/|https://gis.boem.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer/23,2,http://www.boem.gov/AIS_count_vessels_atl_2009_shapefile/,1
2009-2010 Commercial Vessel Density (October - AIS),"These data were generated to provide insight into traffic patterns on a macro scale so they could be analyzed across the coastal waters of the Continental United States. For this dataset, a transit is counted for every unique vessel intersecting a 1 kilometer square grid cell each day. This data represents the total number of vessel transits from October 2009 - October 2010. There were some grid cells which were unable to be processed, but it is not perceived that this interferes with the integrity of these data.

Please note multiple connection errors occurred during the time frame of this study. In most cases, data gaps were filled by making subsequent requests to the Coast Guard or other groups receiving the same data feed. However, due to resource constraints, uninterrupted coverage was not obtained. Overall data outages were minimal, on the order of less than a day per month. Because outages were random and affect all areas uniformly, they do not have a significant effect on the integrity of the data. As stated on the USCG NAIS website, AIS data are not representative of all vessel traffic and USCG NAIS receivers do not fully cover the entire extent of this study area. Please take time to understand both of these limitations.",NOAA Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010National.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM10N.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM10S.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM11.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM14.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM15.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM16.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM17.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM18.zip|ftp://ftp.coast.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010UTM19.zip,10,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CommercialVesselDensityOctober2009-2010National.xml&f=html,1
200NM EEZ and Maritime Boundaries,Each coastal State may claim an Exclusive Economic Zone (EEZ) beyond and adjacent to its territorial sea that extends seaward up to 200 nautical miles from its baselines (or out to a maritime boundary with another coastal State).,NOAA Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,http://maritimeboundaries.noaa.gov/downloads/USMaritimeLimitsAndBoundariesSHP.zip,1,http://gis.charttools.noaa.gov/ocs_metadata/public/fgdc/MB_ParentDataset.xml,1
2010 Vessel Traffic (AIS),"Derived from 2010 Automatic Identification System (AIS) broadcast returns. Each vessel count per aliquot represents the number of vessels traveling through the block during the year of 2010. An aliquot measures 1/16 of a full OCS leasing block or 1200 x 1200 meters. Only areas where BOEM publishes Official Protraction Diagrams will contain the aliquot AIS counts, therefore, large areas of inland state waters may be missing aliquot AIS counts.  The data has also been clipped so that any aliquot that touches land has been deleted so that the user can discern the location of the coastline.  Vessel count and types can be viewed by downloading the data.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/Renewable-Energy-Program/Mapping-and-Data/AIS_count_all_vessels_atl_2010_shapefile.aspx|https://gis.boem.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer/22,2,http://www.boem.gov/Renewable-Energy-Program/Mapping-and-Data/AIS_count_all_vessels_atl_2010_shapefile.aspx,1
2011 Vessel Density,"Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the
location and characteristics of many vessels in U.S. and international waters in real-time. This dataset
represents the density of all vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastVesselDensity2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensity2011.xml&f=html,1
2011 Vessel Density: Cargo,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of cargo vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastCargoVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesCargoVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoCargoVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastCargoVesselDensity2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CargoVesselDensity2011.xml&f=html,1
2011 Vessel Density: Fishing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of fishing vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastFishingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesFishingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoFishingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastFishingVesselDensity2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/FishingVesselDensity2011.xml&f=html,1
2011 Vessel Density: Passenger,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of passenger vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastPassengerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesPassengerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoPassengerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastPassengerVesselDensity2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/PassengerVesselDensity2011.xml&f=html,1
